FIRE_CAUSE,FCODE,FIRESTATUS,FIRE_CENTR,FIRE_TYPE,FIRE_YEAR,FIRE_NO,SHAPE,SIZE_HA,FIRE_NT_NM,LATITUDE,FIRE_NT_LK,FIRE_NT_ID,ZONE,FIRE_ID,IGN_DATE,GEO_DESC,LONGITUDE,OBJECTID,X,Y
Lightning,JA70003000,Not Active,3,Fire,2018,R20624,,0.150,,54.9125,,,2,624,20180620000000,Babine Lake Road,-126.5642,2885963,963915.4190000001,1101602.7230000021
Lightning,JA70003000,Not Active,3,Fire,2018,R20665,,0.009,,54.8666,,,2,665,20180620000000,N of Fulton Lake #2,-126.4570,2885964,970736.6279999992,1096427.8170000063
Lightning,JA70003000,Not Active,3,Fire,2018,R20668,,0.009,,54.8745,,,2,668,20180620000000,N of Fulton Lake #3,-126.4727,2885965,969739.4030000009,1097319.9360000091
Lightning,JA70003000,Not Active,3,Fire,2018,R20720,,0.150,,55.0916,,,2,720,20180621000000,E of Hagen FSR,-126.1739,2885966,988929.7810000005,1121466.2660000017
Lightning,JA70003000,Not Active,3,Fire,2018,R20742,,0.300,,54.3185,,,2,742,20180621000000,Maxan Lake #2,-126.4014,2885967,973953.0720000004,1035229.2849999936
Lightning,JA70003000,Not Active,3,Fire,2018,R20801,,0.200,,54.8747,,,2,801,20180621000000,N of Fulton Lake #4,-126.5095,2885968,967382.6830000008,1097364.1920000026
Lightning,JA70003000,Not Active,3,Fire,2018,R21129,,0.010,,54.1373,,,2,1129,20180712000000,8 km on Emil FSR,-126.7422,2885969,951623.1219999999,1015188.2289999938
Lightning,JA70003000,Not Active,3,Fire,2018,R21423,,0.120,,53.7030,,,2,1423,20180722000000,Tahtsa Reach,-126.9550,2885970,937099.6349999993,966889.1189999981
Lightning,JA70003000,Not Active,3,Fire,2018,R21618,,1.000,,54.9701,,,2,1618,20180730000000,Tochcha Lake,-125.7308,2885971,1017196.5640000001,1107919.2290000031
Lightning,JA70003000,Fire of Note,3,Fire,2018,R21721,,63000.000,Nadina Lake,53.9067,http://bcfireinfo.for.gov.bc.ca/hprScripts/WildfireNews/OneFire.asp?ID=716,716,2,1721,20180731000000,Nadina Lake,-127.0659,2885972,930135.9020000006,989723.7760000005
Lightning,JA70003000,Not Active,3,Fire,2018,R21749,,0.009,,54.2964,,,2,1749,20180731000000,Equity Mine Road,-126.4491,2885973,970841.9440000003,1032781.2029999997
Lightning,JA70003000,Not Active,3,Fire,2018,R21755,,0.009,,53.8048,,,2,1755,20180731000000,Fish Lake,-126.7542,2885974,950444.5450000004,978089.5059999945
Lightning,JA70003000,Not Active,3,Fire,2018,R21776,,0.009,,53.8974,,,2,1776,20180731000000,Noralee,-126.7002,2885975,954096.8210000006,988381.2970000021
Lightning,JA70003000,Not Active,3,Fire,2018,R21794,,1.000,,54.3163,,,2,1794,20180731000000,SW of Houston,-126.9754,2885976,936698.0140000002,1035344.1400000043
Lightning,JA70003000,Not Active,3,Fire,2018,R21830,,0.009,,54.4743,,,2,1830,20180801000000,Perow,-126.4047,2885977,973839.4050000000,1052620.3720000014
Lightning,JA70003000,Not Active,3,Fire,2018,R21835,,0.009,,54.4160,,,2,1835,20180801000000,4mi S of Houston ,-126.8990,2885978,941796.1399999994,1046405.9129999988
Lightning,JA70003000,Not Active,3,Fire,2018,R21838,,5.200,,53.9415,,,2,1838,20180801000000,W of Nadina Lake,-126.8129,2885979,946766.3660000006,993389.1469999999
Lightning,JA70003000,Not Active,3,Fire,2018,R21841,,0.009,,54.4877,,,2,1841,20180801000000,W of houston,-126.7775,2885980,949750.8030000007,1054320.9810000025
Lightning,JA70003000,Not Active,3,Fire,2018,R22001,,0.009,,54.6071,,,2,2001,20180802000000,Nez Lake,-126.1864,2885981,987988.2460000009,1067390.2900000000
Lightning,JA70003000,Active,3,Fire,2018,R22258,,500.000,,55.1578,,,2,2258,20180806000000,Morrison Mainline,-126.1788,2885982,988632.1970000007,1128862.1670000013
Person,JA70003000,Fire of Note,3,Fire,2018,R22298,,216.000,Gilmore Lake Wildfire,54.4697,http://bcfireinfo.for.gov.bc.ca/hprScripts/WildfireNews/OneFire.asp?ID=733,733,2,2298,20180807000000,Gilmore Lake,-126.4053,2885983,973797.7080000008,1052112.7309999987
Person,JA70003000,Not Active,3,Fire,2018,R22385,,0.040,,54.5339,,,2,2385,20180809000000,23km North Road,-126.5882,2885984,962027.3220000004,1059354.0860000001
Person,JA70003000,Not Active,3,Fire,2018,R22669,,0.009,,54.3027,,,2,2669,20180814000000,Buck Flats,-126.6460,2885985,958061.7139999998,1033583.2559999973
Lightning,JA70003000,Not Active,3,Fire,2018,R30277,,0.100,,54.8262,,,3,277,20180520000000,McDonell Lake FSR,-127.9041,2885986,877968.6959999993,1093474.3019999927
Lightning,JA70003000,Not Active,3,Fire,2018,R30608,,0.009,,54.6097,,,3,608,20180620000000,McDonnell Lake,-127.1885,2885987,923422.7089999997,1068307.5060000019
Lightning,JA70003000,Not Active,3,Fire,2018,R30610,,0.009,,54.9670,,,3,610,20180620000000,Gramaphone Creek,-127.3084,2885988,916433.8620000004,1108314.6149999993
Lightning,JA70003000,Not Active,3,Fire,2018,R30656,,0.009,,54.9430,,,3,656,20180620000000,Trout creek,-127.3360,2885989,914617.5489999999,1105670.9310000036
Lightning,JA70003000,Not Active,3,Fire,2018,R30875,,0.300,,54.9408,,,3,875,20180621000000,Reiseter Creek,-127.0230,2885990,934615.4459999993,1105093.9519999996
Person,JA70003000,Not Active,3,Fire,2018,R31090,,0.009,,54.6980,,,3,1090,20180708000000,Telkwa - Island in Bulkley River,-127.0540,2885991,932230.7870000000,1078023.6470000027
Lightning,JA70003000,Not Active,3,Fire,2018,R31104,,0.300,,54.7556,,,3,1104,20180710000000,Jollymore Rd,-127.0406,2885992,933187.8280000008,1084437.8460000008
Lightning,JA70003000,Not Active,3,Fire,2018,R31163,,0.200,,54.6625,,,3,1163,20180714000000,Pine Creek Road,-127.2734,2885993,918057.7649999999,1074293.4989999989
Lightning,JA70003000,Not Active,3,Fire,2018,R31900,,4.000,,55.5875,,,3,1900,20180801000000,W Babine River,-126.8472,2885994,946718.7560000001,1177126.9850000013
Lightning,JA70003000,Not Active,3,Fire,2018,R31901,,3.000,,55.5519,,,3,1901,20180801000000,Mount Horetzky,-126.8640,2885995,945613.6349999993,1173160.8259999985
Lightning,JA70003000,Active,3,Fire,2018,R32009,,200.000,,55.5305,,,3,2009,20180802000000,Nichyeskwa Creek,-126.8278,2885996,947861.3339999994,1170754.4329999983
Lightning,JA70003000,Not Active,3,Fire,2018,R32034,,0.150,,55.5856,,,3,2034,20180802000000,W of Horetzky,-126.9394,2885997,940914.3440000004,1176988.1389999995
Person,JA70003000,Not Active,3,Fire,2018,R32147,,0.900,,55.0241,,,3,2147,20180804000000,W of Moricetown/Witset,-127.3421,2885998,914403.6629999996,1114731.2449999927
Lightning,JA70003000,Fire of Note,3,Fire,2018,R32182,,880.000,Torkelsen Lake,55.1115,http://bcfireinfo.for.gov.bc.ca/hprScripts/WildfireNews/OneFire.asp?ID=727,727,3,2182,20180805000000,Torkelsen Lake,-126.6530,2885999,958440.0239999997,1123861.9700000016
Lightning,JA70003000,Not Active,3,Fire,2018,R32242,,0.100,,54.6779,,,3,2242,20180806000000,Round Lake,-126.7518,2886000,951636.1109999995,1075536.0360000022
Lightning,JA70003000,Not Active,3,Fire,2018,R32286,,0.100,,55.0275,,,3,2286,20180807000000,Boundary FSR,-126.6095,2886001,961131.0370000000,1114470.4109999994
Lightning,JA70003000,Active,3,Fire,2018,R32323,,0.010,,55.5675,,,3,2323,20180808000000,413 Rd,-126.9087,2886002,942820.1930000004,1174937.2020000024
Lightning,JA70003000,Not Active,3,Fire,2018,R32530,,0.009,,55.0288,,,3,2530,20180811000000,W of Smithers Landing,-126.5274,2886003,966367.0360000004,1114571.6330000022
Person,JA70003000,Not Active,3,Fire,2018,R40061,,12.300,,55.0675,,,4,61,20180428000000,Woodcock,-128.2314,2886004,857849.0299999998,1121003.0570000093
Person,JA70003000,Not Active,3,Fire,2018,R40130,,75.000,,55.6669,,,4,130,20180508000000,Kispiox River,-128.2556,2886005,858438.1949999980,1187920.5319999997
Person,JA70003000,Not Active,3,Fire,2018,R40174,,0.500,,55.1254,,,4,174,20180513000000,Skeena Crossing,-127.7808,2886006,886714.1539999993,1126648.6510000052
Person,JA70003000,Not Active,3,Fire,2018,R40214,,3.000,,55.4465,,,4,214,20180516000000,17 Mile bridge,-127.7280,2886007,890947.3249999996,1162400.7179999985
Person,JA70003000,Not Active,3,Fire,2018,R40223,,1.400,,55.4899,,,4,223,20180517000000,Hwy 37 Tsugwinselda Creek 1,-128.2632,2886008,857335.1219999996,1168189.1260000058
Person,JA70003000,Not Active,3,Fire,2018,R40224,,0.009,,55.5050,,,4,224,20180517000000,Hwy 37 Tsugwinselda Creek 2,-128.2797,2886009,856346.5860000006,1169910.9120000005
Lightning,JA70003000,Not Active,3,Fire,2018,R40255,,0.050,,55.0750,,,4,255,20180519000000,0.8km off Kitwanga BackRd,-128.2506,2886010,856654.9959999975,1121876.6209999947
Lightning,JA70003000,Not Active,3,Fire,2018,R40256,,0.100,,55.0892,,,4,256,20180519000000,Casnorra Creek,-128.2421,2886011,857245.5649999999,1123451.1839999994
Lightning,JA70003000,Not Active,3,Fire,2018,R40615,,1.900,,55.3952,,,4,615,20180620000000,W of Kitwanga River,-128.3277,2886012,852918.9520000000,1157758.1220000107
Lightning,JA70003000,Not Active,3,Fire,2018,R40631,,0.500,,55.0699,,,4,631,20180620000000,E Shandilla Creek,-127.9619,2886013,875021.2990000005,1120767.9139999999
Lightning,JA70003000,Not Active,3,Fire,2018,R40642,,0.009,,55.6131,,,4,642,20180620000000,S of Babine River,-126.9699,2886014,939039.1349999998,1180085.1389999930
Lightning,JA70003000,Not Active,3,Fire,2018,R40646,,0.100,,55.0804,,,4,646,20180620000000,2km N of Woodcock airstrip,-128.2545,2886015,856423.9830000007,1122494.4919999987
Lightning,JA70003000,Not Active,3,Fire,2018,R40650,,0.009,,55.0970,,,4,650,20180620000000,4km NW Woodcock,-128.2233,2886016,858468.3259999994,1124279.9950000020
Lightning,JA70003000,Not Active,3,Fire,2018,R40651,,0.100,,55.1757,,,4,651,20180620000000,8 Mile Lake Road,-127.9871,2886017,873748.7549999993,1132612.1869999943
Lightning,JA70003000,Not Active,3,Fire,2018,R40659,,0.200,,55.2596,,,4,659,20180620000000,W of Kitwancool Creek,-128.0953,2886018,867153.1709999994,1142167.9860000014
Lightning,JA70003000,Not Active,3,Fire,2018,R40661,,0.009,,55.2701,,,4,661,20180620000000,Duece Road,-128.1518,2886019,863605.6180000011,1143450.7300000088
Lightning,JA70003000,Not Active,3,Fire,2018,R40664,,0.009,,55.2936,,,4,664,20180620000000,5 Miles W of Mathesons,-127.8145,2886020,885049.7420000001,1145470.2990000015
Lightning,JA70003000,Not Active,3,Fire,2018,R40880,,0.150,,55.1771,,,4,880,20180623000000,Tea Lake FSR,-127.9933,2886021,873356.1690000005,1132779.6970000081
Person,JA70003000,Not Active,3,Fire,2018,R41154,,12.100,,55.0043,,,4,1154,20180714000000,Cedarvale,-128.3409,2886022,850647.0240000004,1114181.0740000010
Lightning,JA70003000,Not Active,3,Fire,2018,R41511,,0.200,,55.2598,,,4,1511,20180727000000,SE of Gitanyow,-128.0332,2886023,871089.8459999999,1142079.3730000025
Lightning,JA70003000,Active,3,Fire,2018,R41684,,150.000,,56.1812,,,4,1684,20180731000000,Sikitine River,-127.8547,2886024,885099.8149999992,1244572.7190000014
Lightning,JA70003000,Fire of Note,3,Fire,2018,R41913,,4500.000,W Babine River,55.6199,http://bcfireinfo.for.gov.bc.ca/hprScripts/WildfireNews/OneFire.asp?ID=771,771,4,1913,20180801000000,W Babine River,-127.2565,2886025,921041.7999999998,1181121.6260000002
Lightning,JA70003000,Active,3,Fire,2018,R41945,,80.000,,55.6935,,,4,1945,20180801000000,Cutoff Mountain,-127.8297,2886026,885241.7560000009,1190122.7290000021
Lightning,JA70003000,Fire of Note,3,Fire,2018,R91947,,36382.000,Alkali Lake,57.9006,http://bcfireinfo.for.gov.bc.ca/hprScripts/WildfireNews/OneFire.asp?ID=719,719,9,1947,20180801000000,Alkali Lake,-131.2520,2886058,689103.8070000004,1446398.3199999980
Lightning,JA70003000,Active,3,Fire,2018,R91972,,34.000,,57.9831,,,9,1972,20180801000000,Konthil Creek,-130.2429,2886059,749309.0340000000,1451561.3000000073
Lightning,JA70003000,Active,3,Fire,2018,R92006,,89.000,,56.8565,,,9,2006,20180802000000,Ningunsaw Park,-130.0182,2886060,755442.6860000008,1325361.4180000033
Lightning,JA70003000,Not Active,3,Fire,2018,R92030,,0.000,South Stikine River,57.9510,http://bcfireinfo.for.gov.bc.ca/hprScripts/WildfireNews/OneFire.asp?ID=729,729,9,2030,20180802000000,S Stinkine River,-131.0158,2886061,703459.2340000005,1450984.1239999980
Lightning,JA70003000,Active,3,Fire,2018,R92033,,100.000,,59.8560,,,9,2033,20180802000000,Lutz Creek,-128.6699,2886062,850052.1189999998,1655356.2040000004
Lightning,JA70003000,Active,3,Fire,2018,R92070,,18577.000,,59.3845,,,9,2070,20180803000000,Red River,-128.4480,2886063,860696.5480000003,1602508.7109999931
Lightning,JA70003000,Active,3,Fire,2018,R92071,,100.000,,59.2547,,,9,2071,20180803000000,Deadwood River,-128.5020,2886064,857119.7919999996,1588193.6539999987
Lightning,JA70003000,Active,3,Fire,2018,R92132,,1888.000,,59.4452,,,9,2132,20180804000000,N of Johnny Creek,-128.6513,2886065,849390.7389999981,1609674.2770000021
Lightning,JA70003000,Active,3,Fire,2018,R92162,,11012.000,,57.9100,,,9,2162,20180804000000,Klasline River,-130.6285,2886066,726027.6490000008,1444867.7760000019
Lightning,JA70003000,Not Active,3,Fire,2018,R92196,,1.500,,57.4980,,,9,2196,20180805000000,Kinaskin Lake,-130.2358,2886067,746494.6709999995,1397555.1399999997
Lightning,JA70003000,Active,3,Fire,2018,R92228,,0.009,,57.9625,,,9,2228,20180805000000,Spatzizi Park,-128.6389,2886068,843941.8220000002,1444659.4349999991
Lightning,JA70003000,Active,3,Fire,2018,R92232,,0.009,,58.8767,,,9,2232,20180805000000,Gun Lake,-131.7741,2886069,667122.4090000008,1557177.5180000025
Lightning,JA70003000,Active,3,Fire,2018,R92303,,1.500,,57.6019,,,9,2303,20180807000000,Schaft Creek,-131.0149,2886070,700760.4800000007,1412157.1659999993
Lightning,JA70003000,Active,3,Fire,2018,R92631,,0.009,,59.4990,,,9,2631,20180813000000,Horseranch Lake,-129.1073,2886071,823762.1059999997,1616709.7190000066
Lightning,JA70003000,Active,3,Fire,2018,R92664,,0.009,,57.8080,,,9,2664,20180814000000,Tsecha Creek,-130.4757,2886072,734338.8560000006,1432929.8520000037
Lightning,JA70003000,New,3,Fire,2018,R92725,,21.000,,59.4884,,,9,2725,20180817000000,Spring Creek Canyon,-129.4953,2886073,801714.2889999996,1616554.7229999900
Person,JA70003000,Not Active,4,Fire,2018,G10062,,5.350,,53.7704,,,1,62,20180428000000,19590 Willow Cale Rd,-122.5840,2886074,1224547.7320000003,979408.9220000012
Person,JA70003000,Not Active,4,Fire,2018,G10065,,7.600,,53.4663,,,1,65,20180428000000,11535 Colebank Rd,-122.5915,2886075,1225690.5900000008,945489.5019999985
Person,JA70003000,Not Active,4,Fire,2018,G10083,,0.500,,53.8835,,,1,83,20180501000000,Sutley Rd,-122.6841,2886076,1217386.1440000006,991700.7859999929
Person,JA70003000,Not Active,4,Fire,2018,G10122,,0.009,,53.9601,,,1,122,20180506000000,Miworth,-122.9199,2886077,1201563.6570000001,999545.0209999988
Person,JA70003000,Not Active,4,Fire,2018,G10182,,0.500,,54.0551,,,1,182,20180513000000,muermann rd,-122.8101,2886078,1208264.7709999993,1010447.6580000054
Person,JA70003000,Not Active,4,Fire,2018,G10439,,0.009,,54.0976,,,1,439,20180528000000,Chief Lake Rd,-123.0673,2886079,1191284.5910000000,1014468.2290000012
Lightning,JA70003000,Not Active,4,Fire,2018,G10489,,0.009,,53.8881,,,1,489,20180606000000,Willow River Rec,-122.2819,2886080,1243698.4110000003,993517.5029999986
Lightning,JA70003000,Not Active,4,Fire,2018,G10600,,2.000,,53.4823,,,1,600,20180620000000,Barton Lake,-123.4335,2886081,1169899.2260000005,944916.8240000047
Lightning,JA70003000,Not Active,4,Fire,2018,G10607,,8.000,,54.8410,,,1,607,20180620000000,Anzac,-122.2933,2886082,1237389.7069999999,1099692.1750000007
Lightning,JA70003000,Not Active,4,Fire,2018,G10673,,0.009,,53.8399,,,1,673,20180620000000,Prince GeorgeLower Mudd River Rd,-122.9717,2886083,1198750.7050000001,985996.3040000061
Lightning,JA70003000,Not Active,4,Fire,2018,G10682,,0.600,,53.8149,,,1,682,20180620000000,Square Lake,-123.2064,2886084,1183464.4959999991,982576.8480000068
Lightning,JA70003000,Not Active,4,Fire,2018,G10696,,2700.000,Comstock Lake,53.4449,http://bcfireinfo.for.gov.bc.ca/hprScripts/WildfireNews/OneFire.asp?ID=695,695,1,696,20180621000000,Comstock Lake ,-124.0255,2886085,1130837.8169999996,939492.1359999962
Lightning,JA70003000,Not Active,4,Fire,2018,G10734,,0.200,,53.9305,,,1,734,20180621000000,Isle Pierre,-123.3177,2886086,1175666.8410000002,995182.3360000076
Lightning,JA70003000,Not Active,4,Fire,2018,G10802,,0.009,,54.0066,,,1,802,20180621000000,North Shore of Fraser River,-121.5994,2886087,1287562.6920000003,1009289.8790000007
Lightning,JA70003000,Not Active,4,Fire,2018,G10809,,0.200,,53.8875,,,1,809,20180621000000,Walker Creek,-120.8492,2886088,1337465.5129999996,999339.1589999991
Lightning,JA70003000,Not Active,4,Fire,2018,G10847,,0.009,,53.7446,,,1,847,20180622000000,Dome Creek,-121.0735,2886089,1323904.4730000000,982380.3930000011
Person,JA70003000,Fire of Note,3,Fire,2018,R41980,,450.000,Pope FSR,55.5625,http://bcfireinfo.for.gov.bc.ca/hprScripts/WildfireNews/OneFire.asp?ID=772,772,4,1980,20180801000000,Pope FSR,-127.8060,2886027,886351.8850000002,1175471.1659999974
Lightning,JA70003000,Not Active,3,Fire,2018,R42077,,0.009,,55.5627,,,4,2077,20180803000000,Pope FSR,-127.7882,2886028,887472.0839999997,1175455.7530000033
Person,JA70003000,Not Active,3,Fire,2018,R42279,,0.200,,55.2207,,,4,2279,20180806000000,New hazelton,-127.4798,2886029,906079.0259999996,1136846.9399999985
Person,JA70003000,Active,3,Fire,2018,R42356,,40.000,,55.2038,,,4,2356,20180809000000,Kitwancool Creek,-128.1227,2886030,865227.5949999992,1135993.9830000009
Person,JA70003000,Not Active,3,Fire,2018,R42614,,0.100,,55.1017,,,4,2614,20180813000000,Woodcock Airstrip,-128.1434,2886031,863568.8349999994,1124645.6550000021
Person,JA70003000,Not Active,3,Fire,2018,R42628,,0.009,,54.9093,,,4,2628,20180813000000,Skeena River near Ritchie,-128.3796,2886032,847819.1339999993,1103663.2630000003
Person,JA70003000,Not Active,3,Fire,2018,R50515,,0.009,,54.6239,,,5,515,20180610000000,East of Grizzly Lake,-128.6421,2886033,829851.2919999993,1072419.6529999999
Person,JA70003000,Not Active,3,Fire,2018,R50540,,0.009,,54.1132,,,5,540,20180616000000,Kitimat River,-128.6215,2886034,829068.0020000003,1015406.2970000003
Lightning,JA70003000,Not Active,3,Fire,2018,R50690,,0.020,,54.4209,,,5,690,20180621000000,Accross from Shame Muntain Turnoff,-128.8494,2886035,815596.6740000003,1050302.3360000011
Lightning,JA70003000,Not Active,3,Fire,2018,R50698,,0.009,,54.7711,,,5,698,20180621000000,N Maroon Creek,-128.7378,2886036,824328.6349999999,1089070.5479999995
Person,JA70003000,Not Active,3,Fire,2018,R51000,,0.009,,54.3946,,,5,1000,20180702000000,1km W of Exstew River,-129.0710,2886037,801136.6080000007,1047965.4719999963
Lightning,JA70003000,Not Active,3,Fire,2018,R51012,,0.009,,54.0522,,,5,1012,20180703000000,Kitimat FD,-128.5944,2886038,830583.7879999999,1008539.4389999993
Lightning,JA70003000,Active,3,Fire,2018,R51479,,114.000,,54.6850,,,5,1479,20180726000000,3.8km e of Zymoetz River,-127.9070,2886039,877360.3920000001,1077719.9620000077
Person,JA70003000,Not Active,3,Fire,2018,R51565,,0.009,,53.9325,,,5,1565,20180729000000,North Cove,-128.7210,2886040,821809.6729999994,995505.7769999988
Lightning,JA70003000,Active,3,Fire,2018,R51572,,0.009,,53.4943,,,5,1572,20180729000000,E of Kemano,-127.7969,2886041,881064.3049999997,944683.5070000002
Lightning,JA70003000,Active,3,Fire,2018,R51596,,0.009,,53.6511,,,5,1596,20180730000000,Cariboo Creek,-127.9161,2886042,873651.2839999995,962384.9800000042
